antecedent,consequent,support,confidence,lift
RADIATION_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.0198882100610945,0.29766536964980544,4.490077821011673
HUMIDITY_HIGH + RAIN_MID + TEMP_LOW,O3_LOW + PM10_HIGH,0.007994280514753671,0.5913461538461537,4.488629463777465
RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.006629403353698167,0.35172413793103446,4.487253388231258
HUMIDITY_LOW + RADIATION_HIGH + RAIN_LOW + TEMP_HIGH + WIND_HIGH,O3_HIGH + PM25_MID,0.005914467697907188,0.2852664576802508,4.478683385579937
RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM10_MID,0.006824385805277525,0.24764150943396226,4.472080122242891
HUMIDITY_MID + RADIATION_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.006499415052645262,0.5208333333333334,4.464368616527391
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.015208631223189913,0.34977578475336324,4.462396537491913
HUMIDITY_MID + RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.006369426751592357,0.5868263473053892,4.454321746246038
HUMIDITY_LOW + RADIATION_HIGH + TEMP_HIGH,O3_HIGH + PM25_MID,0.020083192512673858,0.2832263978001833,4.446654445462879
HUMIDITY_LOW + RADIATION_HIGH + RAIN_LOW + WIND_LOW,O3_HIGH + PM10_MID,0.0055245027947484725,0.44041450777202074,4.446337018753485
RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.014363707266346028,0.2946666666666667,4.444844444444445
RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.027362537371636554,0.32967893500391543,4.441716369501088
HUMIDITY_MID + RADIATION_HIGH + WIND_HIGH,O3_HIGH + PM10_LOW,0.009879110880020798,0.4021164021164021,4.438280461235984
